,date,lat,lng
337997,2018-11-30 00:29,59.2436922,18.0857819
337998,2018-11-30 00:30,59.243692,18.0857677
337999,2018-11-30 00:31,59.2436866,18.0858243
338000,2018-11-30 00:32,59.24362817153615,18.085870681430254
338001,2018-11-30 00:33,59.243650877213454,18.08589441012257
338002,2018-11-30 00:34,59.2436565364972,18.08587829658364
338003,2018-11-30 00:35,59.24367246333803,18.085876161678748
338004,2018-11-30 00:36,59.243669582027074,18.085866581093
338005,2018-11-30 01:09,59.24365986803284,18.085859096200995
338006,2018-11-30 01:10,59.24364188791504,18.08586355412232
338007,2018-11-30 01:11,59.2436959,18.0859328
338008,2018-11-30 01:12,59.24357515189158,18.085577418535983
338009,2018-11-30 01:14,59.2436947,18.0859237
338010,2018-11-30 01:15,59.243702,18.0859233
338011,2018-11-30 08:00,59.2436633,18.0853995
338012,2018-11-30 08:01,59.243697,18.0859834
338013,2018-11-30 08:02,59.243697,18.0859834
338014,2018-11-30 08:03,59.2436979,18.0859838
338015,2018-11-30 08:04,59.2436979,18.0859838
338016,2018-11-30 08:05,59.243698,18.0859847
338017,2018-11-30 08:32,59.2949769,17.9844617
338018,2018-11-30 08:33,59.2960113,17.9836248
338019,2018-11-30 08:34,59.3000784,17.9821066
338020,2018-11-30 08:35,59.3020412,17.993289
338021,2018-11-30 08:36,59.3035903,18.0029374
338022,2018-11-30 08:37,59.3051202,18.0101106
338023,2018-11-30 08:38,59.3062057,18.0131807
338024,2018-11-30 08:39,59.313995,18.0041088
338025,2018-11-30 08:40,59.3220836,17.9971648
338026,2018-11-30 08:41,59.3306309,18.0091047
338027,2018-11-30 08:42,59.3306309,18.0091047
338028,2018-11-30 08:43,59.345516,18.0194958
338029,2018-11-30 08:44,59.345516,18.0194958
338030,2018-11-30 08:45,59.345516,18.0194958
338031,2018-11-30 09:03,59.58717,17.8990829
338032,2018-11-30 09:04,59.6038442,17.899327
338033,2018-11-30 09:05,59.6186259,17.905326
338034,2018-11-30 09:06,59.630819,17.9253677
338035,2018-11-30 09:07,59.6423979,17.9373244
338036,2018-11-30 09:08,59.6498917,17.9364271
338037,2018-11-30 09:09,59.6490167,17.9356383
338038,2018-11-30 09:10,59.6515269,17.9320439
